Date,Open,High,Low,Close,Volume
20150101,68.3681,68.3681,68.3681,68.3681,0
20150113,74.3551,74.3551,74.3551,74.3551,0
20150114,76.7735,76.7735,76.7735,76.7735,0
20150115,77.9629,77.9629,77.9629,77.9629,0
20150116,76.3352,76.3352,76.3352,76.3352,0
20150117,75.8623,75.8623,75.8623,75.8623,0
20150120,75.174,75.174,75.174,75.174,0
20150121,75.2735,75.2735,75.2735,75.2735,0
20150122,75.8218,75.8218,75.8218,75.8218,0
20150123,75.7724,75.7724,75.7724,75.7724,0
20150124,71.9067,71.9067,71.9067,71.9067,0
20150127,73.5633,73.5633,73.5633,73.5633,0
20150128,76.2922,76.2922,76.2922,76.2922,0
20150129,76.2629,76.2629,76.2629,76.2629,0
20150130,77.569,77.569,77.569,77.569,0
20150131,78.1105,78.1105,78.1105,78.1105,0
20150203,78.79,78.79,78.79,78.79,0
20150204,76.8271,76.8271,76.8271,76.8271,0
20150205,75.0415,75.0415,75.0415,75.0415,0
20150206,77.9356,77.9356,77.9356,77.9356,0
20150207,75.6591,75.6591,75.6591,75.6591,0
20150210,74.5833,74.5833,74.5833,74.5833,0
20150211,74.1382,74.1382,74.1382,74.1382,0
20150212,74.7386,74.7386,74.7386,74.7386,0
20150213,74.8311,74.8311,74.8311,74.8311,0
20150214,74.3675,74.3675,74.3675,74.3675,0
20150217,71.5426,71.5426,71.5426,71.5426,0
20150218,71.3243,71.3243,71.3243,71.3243,0
20150219,71.08,71.08,71.08,71.08,0
20150220,70.9408,70.9408,70.9408,70.9408,0
20150221,70.0315,70.0315,70.0315,70.0315,0
20150225,71.9422,71.9422,71.9422,71.9422,0
20150226,71.1655,71.1655,71.1655,71.1655,0
20150227,68.9797,68.9797,68.9797,68.9797,0
20150228,68.6857,68.6857,68.6857,68.6857,0
20150303,69.5424,69.5424,69.5424,69.5424,0
20150304,69.8487,69.8487,69.8487,69.8487,0
20150305,69.1138,69.1138,69.1138,69.1138,0
20150306,68.3086,68.3086,68.3086,68.3086,0
20150307,66.1012,66.1012,66.1012,66.1012,0
20150311,65.5242,65.5242,65.5242,65.5242,0
20150312,66.9168,66.9168,66.9168,66.9168,0
20150313,64.6232,64.6232,64.6232,64.6232,0
20150314,64.965,64.965,64.965,64.965,0
20150317,65.4063,65.4063,65.4063,65.4063,0
20150318,65.4314,65.4314,65.4314,65.4314,0
20150319,65.0108,65.0108,65.0108,65.0108,0
20150320,64.1446,64.1446,64.1446,64.1446,0
20150321,64.0504,64.0504,64.0504,64.0504,0
20150324,64.1473,64.1473,64.1473,64.1473,0
20150325,64.3425,64.3425,64.3425,64.3425,0
20150326,62.7651,62.7651,62.7651,62.7651,0
20150327,62.0811,62.0811,62.0811,62.0811,0
20150328,62.5655,62.5655,62.5655,62.5655,0
20150331,63.3695,63.3695,63.3695,63.3695,0
20150401,62.0487,62.0487,62.0487,62.0487,0
20150402,62.7476,62.7476,62.7476,62.7476,0
20150403,61.6919,61.6919,61.6919,61.6919,0
20150404,61.7363,61.7363,61.7363,61.7363,0
20150407,62.0377,62.0377,62.0377,62.0377,0
20150408,60.4124,60.4124,60.4124,60.4124,0
20150409,58.7003,58.7003,58.7003,58.7003,0
20150410,56.5251,56.5251,56.5251,56.5251,0
20150411,54.2749,54.2749,54.2749,54.2749,0
20150414,55.5201,55.5201,55.5201,55.5201,0
20150415,54.8387,54.8387,54.8387,54.8387,0
20150416,53.6598,53.6598,53.6598,53.6598,0
20150417,52.9087,52.9087,52.9087,52.9087,0
20150418,54.5163,54.5163,54.5163,54.5163,0
20150421,55.5496,55.5496,55.5496,55.5496,0
20150422,57.5998,57.5998,57.5998,57.5998,0
20150423,57.7226,57.7226,57.7226,57.7226,0
20150424,55.1255,55.1255,55.1255,55.1255,0
20150425,54.659,54.659,54.659,54.659,0
20150428,55.8747,55.8747,55.8747,55.8747,0
20150429,56.9016,56.9016,56.9016,56.9016,0
20150430,56.806,56.806,56.806,56.806,0
20150501,57.1578,57.1578,57.1578,57.1578,0
20150506,57.4093,57.4093,57.4093,57.4093,0
