Date,Open,High,Low,Close,Volume
20150102,58.0200000,58.5400000,55.4800000,56.5100000,107874
20150104,56.2500000,56.3000000,55.7400000,55.8000000,532
20150105,55.7700000,56.1400000,52.6600000,53.1500000,169531
20150106,53.2000000,53.6000000,50.5200000,50.9000000,201593
20150107,51.1400000,51.8400000,49.6600000,51.0200000,185120
20150108,51.0600000,51.9100000,49.8100000,51.0500000,157255
20150109,51.2500000,51.4400000,48.9000000,49.9500000,126043
20150111,49.9300000,49.9800000,49.3600000,49.3800000,650
20150112,49.4100000,49.5800000,47.1600000,47.2000000,140690
20150113,47.0500000,47.2900000,45.1900000,46.7900000,106710
20150114,46.8400000,49.2100000,45.5900000,48.6100000,48380
20150115,48.6800000,50.6200000,47.0000000,48.3600000,6549
20150116,48.2500000,50.4100000,48.0700000,49.9000000,198321
20150118,50.1000000,50.3500000,49.8600000,49.9100000,359
20150119,49.9200000,50.3400000,48.6800000,48.8500000,68313
20150120,48.9100000,49.4800000,47.7800000,48.1700000,175030
20150121,48.3000000,49.5900000,48.2100000,48.7500000,188872
20150122,48.6000000,50.4500000,48.0200000,49.0000000,214697
20150123,49.1100000,49.8000000,48.5500000,48.5500000,150208
20150125,48.5600000,48.5800000,47.8500000,47.9700000,1449
20150126,47.9000000,49.2900000,47.5700000,48.1100000,150765
20150127,48.2500000,49.9900000,47.6800000,49.2600000,164211
20150128,49.1000000,49.7200000,48.2900000,48.6500000,139893
20150129,48.6900000,49.2500000,48.3700000,49.0500000,126508
20150130,49.1500000,53.0800000,48.7600000,52.9500000,241857
20150201,52.6000000,52.6800000,51.5000000,52.1000000,668
20150202,52.1000000,55.6200000,51.4100000,54.8500000,259227
20150203,55.0000000,60.0800000,54.8400000,58.0200000,89994
20150204,59.1000000,59.1100000,54.5400000,55.4700000,82704
20150205,55.8500000,58.7800000,54.0600000,57.8700000,109455
20150206,57.6700000,59.9000000,57.6700000,59.0900000,79280
20150208,57.9300000,59.0600000,57.9000000,58.6000000,1010
20150209,58.5600000,60.5900000,57.9800000,58.8300000,105882
20150210,58.8700000,59.6200000,57.1900000,57.9700000,132258
20150211,58.1500000,58.1500000,55.1600000,56.3000000,185626
20150212,56.3300000,59.9100000,56.0700000,59.2400000,216467
20150213,59.2700000,61.7700000,59.0800000,61.4100000,185575
20150215,61.4900000,62.3200000,61.4900000,62.0300000,698
20150216,62.0300000,62.5700000,60.7100000,61.6000000,70978
20150217,61.6800000,63.0000000,60.2700000,62.2900000,167588
20150218,62.3000000,62.4600000,59.2500000,59.4600000,139605
20150219,59.5400000,60.9900000,57.8000000,60.2100000,188491
20150220,60.2000000,61.1500000,59.8200000,60.1000000,113940
20150222,60.0400000,60.0400000,59.7400000,59.8900000,352
20150223,59.9100000,60.6700000,58.3700000,59.0000000,192314
20150224,59.0900000,60.2900000,58.1000000,58.7500000,163766
20150225,58.7500000,62.2000000,58.4100000,61.9100000,169462
20150226,61.8500000,62.6300000,59.6600000,60.5200000,188749
20150227,60.7500000,62.8300000,60.5100000,62.4800000,150323
20150301,62.8300000,62.9500000,62.5400000,62.8900000,41
20150302,62.8300000,62.9600000,60.0400000,60.6700000,45516
20150303,60.6400000,62.5200000,60.4700000,61.7500000,46776
20150304,61.5400000,61.6900000,60.2400000,61.1200000,34378
20150305,61.1900000,62.1000000,60.5800000,61.1300000,36029
20150306,61.1900000,61.7500000,59.6700000,60.2600000,44012
20150308,60.0500000,60.1300000,59.6800000,59.7500000,153
20150309,59.7600000,60.5000000,58.9500000,59.1100000,58942
20150310,58.9500000,59.2600000,56.6200000,56.9100000,79311
20150311,56.9300000,58.2500000,56.3500000,58.2200000,93513
20150312,58.2300000,59.1500000,56.7500000,57.1800000,109389
20150313,57.2500000,57.6000000,54.7500000,54.8900000,124306
20150315,54.6600000,54.8400000,53.6400000,53.9900000,1461
20150316,53.9900000,55.0100000,52.6500000,54.1500000,158183
20150317,54.1000000,54.3800000,52.5700000,53.3000000,132840
20150318,53.2800000,56.8400000,52.6800000,56.2700000,185587
20150319,56.1800000,56.2000000,53.9100000,54.4600000,139341
20150320,54.4600000,55.6700000,53.5500000,55.2200000,125736
20150322,55.2400000,55.2900000,54.6500000,54.7000000,187
20150323,54.7200000,56.1900000,54.1200000,55.8900000,148694
20150324,55.8300000,56.7900000,54.8500000,55.3100000,160607
20150325,55.0900000,57.1700000,54.7000000,56.3800000,163845
20150326,56.3500000,59.7800000,56.3000000,58.8600000,207161
20150327,58.9700000,59.0400000,55.9500000,56.1200000,138166
20150329,55.9600000,56.2200000,55.5700000,55.9400000,750
20150330,55.9400000,56.6500000,55.2000000,56.5600000,134865
20150331,56.3100000,56.3300000,54.7200000,55.1000000,190662
20150401,55.1700000,57.6900000,54.7000000,56.6700000,164197
20150402,56.7200000,58.3200000,55.1200000,56.2300000,72594
20150405,56.2100000,56.7100000,56.2100000,56.4700000,86
20150406,56.4800000,59.4300000,55.6900000,59.0100000,48096
20150407,59.3000000,60.3200000,58.1700000,59.6600000,90644
20150408,59.3500000,59.7500000,56.6100000,57.2900000,81979
20150409,57.3000000,59.1600000,57.1000000,57.9200000,90784
20150410,57.8800000,59.1800000,57.3300000,59.1000000,94513
20150412,59.0800000,59.0800000,58.8700000,58.8900000,42
20150413,58.9200000,60.5900000,58.5600000,59.0500000,127394
20150414,59.1400000,60.4400000,58.9500000,60.1700000,136977
20150415,60.0600000,63.4700000,60.0300000,62.7100000,190261
20150416,62.9000000,64.9500000,62.0000000,63.9400000,179529
20150417,64.0200000,64.5000000,62.9500000,63.7200000,138694
20150419,63.8500000,64.0000000,63.7400000,64.0000000,353
20150420,64.0000000,64.4000000,62.1000000,63.4800000,166844
20150421,63.5200000,63.5200000,61.6500000,61.7800000,121388
20150422,61.9000000,63.3300000,61.3900000,62.8500000,138161
20150423,62.8800000,65.5800000,62.2200000,64.7500000,188240
20150424,64.7500000,65.8000000,64.4800000,65.4900000,132798
20150426,65.4700000,65.4900000,65.3400000,65.4400000,136
20150427,65.4600000,65.6100000,64.4000000,64.6500000,102984
20150428,64.7400000,65.4900000,63.9000000,64.5700000,124081
20150429,64.6400000,66.7200000,64.1300000,65.6000000,160228
20150430,65.6300000,66.9300000,65.3700000,66.8000000,142079
20150501,66.7800000,66.9300000,65.5200000,66.5100000,90243
20150503,67.2400000,67.3600000,67.2400000,67.3300000,4
20150504,67.1300000,67.8500000,66.7300000,67.1100000,18996
20150505,67.2000000,69.1300000,66.9100000,68.3400000,46309
20150506,68.4300000,69.6300000,67.3500000,67.4500000,160709
20150507,67.3700000,69.1700000,65.8800000,66.3200000,63528
20150508,66.1600000,66.4400000,64.2300000,65.5900000,168381
20150510,66.1500000,66.2100000,66.1300000,66.1300000,17
20150511,66.0900000,66.5300000,65.0100000,65.5100000,74703
20150512,65.5000000,67.9500000,65.4000000,67.8200000,123281
