Date,Open,High,Low,Close,Volume
20150105,2201.0000000,2317.0000000,2200.9000000,2295.0000000,567607
20150106,2289.9000000,2376.0000000,2281.5000000,2345.0000000,811041
20150108,2371.1000000,2595.1000000,2361.0000000,2572.0000000,1099715
20150109,2565.0000000,2579.0000000,2452.5000000,2461.0000000,1203809
20150112,2460.0000000,2519.0000000,2441.4000000,2477.0000000,909067
20150113,2479.9000000,2553.0000000,2461.9000000,2522.0000000,1316755
20150114,2519.9000000,2588.0000000,2502.2000000,2588.0000000,764395
20150115,2598.0000000,2653.0000000,2573.0000000,2618.9000000,1285131
20150116,2612.0000000,2748.5000000,2590.0000000,2736.0000000,1096043
20150119,2735.0000000,2828.1000000,2631.6000000,2640.0000000,1694526
20150120,2652.0000000,2675.5000000,2596.2000000,2628.7000000,1060596
20150121,2639.0000000,2765.0000000,2615.7000000,2752.0000000,1123431
20150122,2760.0000000,2937.9000000,2744.6000000,2820.0000000,2055982
20150123,2848.2000000,2938.0000000,2835.5000000,2849.0000000,1630194
20150126,2819.9000000,2869.0000000,2757.0000000,2864.9000000,1420700
20150127,2836.3000000,2943.2000000,2830.5000000,2925.1000000,1159742
20150128,2939.3000000,2998.5000000,2849.1000000,2865.2000000,1318705
20150129,2853.1000000,2914.9000000,2840.0000000,2845.2000000,1306854
20150130,2865.8000000,2885.0000000,2759.0000000,2789.9000000,1205436
20150202,2805.1000000,2819.9000000,2697.6000000,2750.1000000,1675469
20150203,2763.3000000,2903.9000000,2761.1000000,2851.5000000,1241543
20150204,2872.0000000,2933.0000000,2840.7000000,2910.0000000,1258020
20150205,2902.4000000,3030.0000000,2885.4000000,2996.0000000,2085101
20150206,3010.1000000,3150.0000000,2988.0000000,3120.1000000,2153165
20150209,3120.1000000,3297.7000000,3015.5000000,3016.0000000,2681345
20150210,3004.0000000,3058.0000000,2956.0000000,3000.0000000,1268154
20150211,3041.0000000,3123.9000000,3020.2000000,3069.1000000,1419373
20150212,3099.8000000,3207.8000000,3023.0000000,3120.0000000,2335273
20150213,3167.7000000,3199.0000000,3102.3000000,3135.0000000,1042290
20150216,3138.1000000,3143.9000000,2995.2000000,3020.0000000,908960
