Date,Open,High,Low,Close,Volume
20150105,140.5000000,145.9000000,139.3000000,142.0000000,15930
20150106,142.3000000,144.6000000,142.2000000,144.6000000,24970
20150108,144.5000000,149.5000000,144.5000000,148.1000000,61680
20150109,148.4000000,148.4000000,143.3000000,146.6000000,33970
20150112,147.2000000,147.7000000,143.0000000,143.1000000,26550
20150113,143.9000000,144.6000000,143.0000000,143.8000000,55780
20150114,143.8000000,144.8000000,142.0000000,142.9000000,102450
20150115,144.0000000,145.7000000,142.0000000,142.6000000,141460
20150116,143.0000000,146.7000000,142.4000000,144.0000000,114890
20150119,143.9000000,150.4000000,143.4000000,146.7000000,276180
20150120,146.7000000,150.2000000,146.2000000,150.1000000,99800
20150121,150.0000000,154.9000000,149.8000000,154.3000000,461290
20150122,154.5000000,157.3000000,153.2000000,155.5000000,1449970
20150123,155.5000000,156.5000000,153.0000000,153.8000000,620340
20150126,154.6000000,154.6000000,150.5000000,151.3000000,178960
20150127,150.0000000,155.0000000,148.4000000,152.5000000,215880
20150128,153.0000000,155.7000000,151.0000000,151.7000000,318800
20150129,152.2000000,154.7000000,152.2000000,152.9000000,109450
20150130,153.4000000,158.2000000,152.5000000,156.9000000,457440
20150202,157.9000000,159.4000000,155.7000000,155.9000000,187570
20150203,155.8000000,158.1000000,155.0000000,156.9000000,161120
20150204,157.1000000,161.8000000,155.0000000,159.2000000,454690
20150205,158.1000000,159.1000000,156.6000000,158.5000000,251430
20150206,158.9000000,163.5000000,158.6000000,160.3000000,1050310
20150209,161.2000000,166.0000000,160.5000000,166.0000000,576040
20150210,164.6000000,208.0000000,164.4000000,171.0000000,533230
20150211,173.6000000,179.0000000,171.4000000,176.0000000,432350
20150212,178.1000000,237.0000000,160.2000000,189.0000000,1484270
20150213,191.8000000,197.0000000,188.1000000,190.5000000,578740
20150216,194.2000000,194.8000000,177.1000000,181.5000000,378050
20150217,181.8000000,189.0000000,180.2000000,181.1000000,502640
20150218,182.6000000,185.0000000,177.8000000,180.8000000,323880
20150219,181.1000000,181.1000000,172.6000000,175.5000000,253280
20150220,177.0000000,184.2000000,171.2000000,172.4000000,519440
20150224,169.8000000,178.5000000,165.2000000,166.6000000,601360
20150225,167.0000000,170.0000000,164.0000000,166.5000000,612140
20150226,168.0000000,169.7000000,164.0000000,168.4000000,617490
20150227,169.4000000,175.9000000,169.1000000,172.6000000,296950
20150302,173.2000000,179.9000000,170.0000000,171.9000000,706630
20150303,172.1000000,175.9000000,168.5000000,175.1000000,215920
20150304,175.5000000,178.6000000,172.0000000,172.0000000,332030
20150305,172.6000000,174.6000000,172.0000000,172.6000000,208490
20150306,173.7000000,174.5000000,170.1000000,171.2000000,174440
20150310,169.9000000,174.8000000,162.1000000,163.8000000,1167230
20150311,163.5000000,165.0000000,161.0000000,161.9000000,516720
20150312,163.7000000,163.7000000,159.1000000,159.6000000,428710
20150313,160.0000000,160.9000000,156.3000000,156.7000000,223980
20150316,156.0000000,161.1000000,155.8000000,157.0000000,356280
20150317,158.1000000,158.8000000,155.3000000,156.1000000,163720
