Date,Open,High,Low,Close,Volume
20150102,111.6300000,113.0000000,110.8500000,112.5900000,4756516
20150105,110.9600000,111.2000000,107.4400000,108.1600000,9342503
20150106,107.8700000,109.0200000,106.4800000,108.0200000,10092559
20150107,109.2500000,109.7250000,107.5100000,107.9400000,8909445
20150108,109.1900000,110.4400000,108.6000000,110.3030000,7007904
20150109,110.1000000,110.2200000,107.6720000,108.2500000,7963585
20150112,107.4700000,107.4700000,105.5600000,106.0800000,6837643
20150113,106.9200000,107.6600000,103.1900000,104.2400000,11157819
20150114,103.2100000,104.4100000,101.8300000,103.9000000,10312138
20150115,104.4100000,104.9400000,102.5300000,102.6700000,7699423
20150116,102.4700000,105.1400000,102.4700000,105.1000000,9836459
20150120,104.5600000,106.5800000,103.8100000,106.4500000,7701109
20150121,106.7900000,108.2700000,106.3500000,108.1400000,6603044
20150122,108.7600000,109.1200000,106.9900000,108.9500000,5973143
20150123,108.2200000,108.7500000,106.7300000,106.8100000,6021459
20150126,107.2200000,109.3500000,106.3200000,108.8300000,5585336
20150127,108.1100000,108.8120000,107.6300000,108.2800000,5104607
20150128,108.1600000,108.1700000,103.4200000,103.7200000,8411900
20150129,104.2400000,104.6300000,101.6600000,103.0000000,11830180
20150130,101.6000000,103.2800000,98.8800000,102.4100000,16876498
20150202,103.9800000,106.1300000,102.9700000,106.0400000,9433742
20150203,107.6400000,110.1100000,107.6400000,109.5300000,11611988
20150204,108.4900000,109.2800000,107.3920000,108.3300000,8507711
20150205,109.5700000,110.1100000,108.5700000,109.2900000,6069054
20150206,109.6600000,110.4600000,109.1100000,109.6400000,6127888
20150209,109.8400000,111.5000000,109.6500000,110.4400000,5106637
20150210,110.5200000,110.6200000,108.0852000,110.1600000,5656673
20150211,109.1100000,110.1800000,108.2900000,109.9600000,5936898
20150212,110.2800000,111.0500000,109.8200000,110.8500000,5205376
20150213,111.3500000,112.8400000,111.1000000,112.7700000,6036849
20150217,112.3100000,112.9300000,111.5200000,112.4100000,5020218
20150218,111.3000000,111.6500000,110.3700000,110.4700000,5363761
20150219,108.0800000,109.5800000,107.2400000,108.4000000,7766332
20150220,108.4300000,108.8700000,107.5000000,108.5800000,5914751
20150223,107.7900000,108.5000000,107.3500000,107.8200000,5444036
20150224,107.8900000,108.2400000,107.3400000,107.9500000,4597975
20150225,108.1200000,108.7800000,107.7600000,108.5800000,3466690
20150226,107.8900000,107.9200000,106.6000000,107.1000000,4745293
20150227,107.5200000,107.7300000,106.5700000,106.6800000,4534381
20150302,106.3200000,106.3400000,104.9300000,105.8700000,5580609
20150303,105.8800000,106.2150000,104.8097000,105.1700000,5756002
20150304,105.6400000,105.6400000,104.4400000,105.1523000,4810824
20150305,105.0100000,105.3100000,104.3300000,104.7500000,3843023
20150306,104.2200000,104.5200000,103.1650000,103.5300000,5461336
20150309,103.6000000,105.6300000,103.5000000,103.9400000,6234466
20150310,103.7900000,104.5500000,102.3301000,102.9300000,8365249
20150311,103.5200000,103.8900000,102.4500000,103.5700000,7130741
20150312,104.2200000,104.5100000,102.3000000,102.4000000,4713376
20150313,101.8400000,101.8400000,100.6600000,101.6100000,6639270
20150316,101.4400000,103.2700000,101.0000000,103.1399000,5215343
20150317,102.3000000,103.5450000,102.1000000,103.2300000,5776442
