Date,Open,High,Low,Close,Volume
20150101,1184,1188.2,1183.5,1185.9,5976
20150102,1186.4,1194.9,1167.3,1189.8,91853
20150104,1187.8,1198,1177.8,1196.4,25516
20150105,1196.5,1208.2,1186.5,1206,121992
20150106,1206.1,1223.3,1205.4,1213.7,153658
20150107,1213.6,1218.5,1204.9,1209.9,107950
20150108,1209.8,1216.8,1204.2,1212.2,90987
20150109,1212.3,1224,1207,1223.4,105436
20150111,1223,1230.5,1222.3,1229.2,19659
20150112,1229.3,1242,1217.5,1235.9,116795
20150113,1235.9,1244.5,1224.9,1227.8,144885
20150114,1227.7,1244.6,1225.4,1229.5,153308
20150115,1229.5,1267.2,1226.1,1257.6,259359
20150116,1257.6,1282.3,1255.2,1280.3,149622
20150118,1280.7,1282,1275.2,1277.4,15271
20150119,1277.4,1279.3,1272.1,1277.1,55278
20150120,1277.2,1303,1275.8,1300.5,169453
20150121,1300.3,1307,1284.6,1291.8,169046
20150122,1291.7,1307.8,1279.1,1295.1,177892
20150123,1295,1299.8,1284.3,1294.1,95067
20150125,1292.8,1299.2,1289.7,1292.3,18523
20150126,1292.2,1293.9,1272,1278.5,117072
20150127,1278.5,1297.4,1277.3,1291.2,104492
20150128,1291.1,1292.7,1277.6,1282.5,70718
20150129,1282.3,1282.6,1251,1261.3,36137
20150130,1261.3,1285.4,1258.1,1283.7,131426
20150201,1282.6,1283.9,1279.1,1280.6,13473
20150202,1280.8,1282.8,1266.5,1276.2,107321
20150203,1276.3,1286.5,1255.8,1263.1,170642
20150204,1263.2,1274.6,1259.5,1272.4,116052
20150205,1272.4,1273.9,1256.1,1268.8,97887
20150206,1268.8,1268.9,1228.2,1233.3,175071
20150208,1235.9,1239.5,1234.4,1238.3,14631
20150209,1238.3,1245.5,1236,1244.7,78047
20150210,1244.7,1245.9,1230.6,1238.5,87794
20150211,1238.5,1238.7,1216.5,1222.1,112700
20150212,1221.9,1232.8,1219.2,1229.5,96402
20150213,1229.5,1234.9,1223,1227.9,75692
20150215,1227.5,1233.6,1227,1231.8,9258
20150216,1231.7,1236.7,1225.8,1228,38246
20150217,1228.1,1228.4,1203.3,1209.1,127464
20150218,1209.1,1217.4,1197.2,1216.3,109281
20150219,1216.2,1222.9,1205.2,1207.7,97591
20150220,1208,1215.3,1197.7,1203.4,91063
20150222,1203.5,1204.7,1200.6,1203.2,8490
20150223,1203.2,1210.3,1190.6,1200.9,101556
20150224,1200.8,1210.1,1190,1209.4,119867
